moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Zfp976;-0.0158985788735498;0.252385963425437;0.68303236782748;-0.0431001754667732;0.011326571616824
Diablo;-0.015899491587602;0.252358727404914;0.68303236782748;-0.0431010867156539;0.0113256587891115
Lrrc41;-0.0159035468286573;0.252237740961703;0.68303236782748;-0.0431051354463206;0.0113216030425087
Kif18b;-0.0159063051249256;0.252155471430566;0.68303236782748;-0.0431078893138382;0.011318844401865
Gm46447;-0.0159090265403381;0.252074320243756;0.68303236782748;-0.0431106063593114;0.0113161226462755
G3bp1;-0.015910295466486;0.252036487751391;0.683026356601;-0.0431118732477312;0.0113148535613739
Csmd3;-0.0159103726985606;0.252034185237767;0.683026356601;-0.0431119503557785;0.011314776319634
Gm48512;-0.0159128944539334;0.251959012402166;0.68300054292351;-0.0431144680612744;0.0113122542484967
Mapkapk5;-0.0159191926192584;0.251771334083881;0.682583833997069;-0.0431207561103922;0.0113059552930268
Fam193a;-0.0159277230569479;0.251517291957823;0.682079066535563;-0.0431292728429293;0.0112974237816943
Acsbg3;-0.0159282047751342;0.2515029514025;0.682079066535563;-0.0431297537870607;0.0112969420027606
Egr4;-0.0159328557697527;0.251364522502635;0.682079066535563;-0.0431343973075217;0.0112922904209751
Usp22;-0.0159346310455825;0.25131169846824;0.682073589078849;-0.0431361697301698;0.011290514920714
Adamts18;-0.0159359668150452;0.251271957224212;0.682057812054866;-0.0431375033527023;0.0112891789822695
Zdhhc12;-0.0159362588140468;0.251263270378138;0.682057812054866;-0.0431377948823724;0.0112888869463155
Mak;-0.0159413838168759;0.25111083782378;0.681804588434828;-0.0431429116470032;0.0112837612941635
Ylpm1;-0.0159430634041582;0.251060896029057;0.681798635965172;-0.0431445885341184;0.0112820814937711
Chd9;-0.0159430885890942;0.251060147218707;0.681798635965172;-0.043144613678565;0.0112820563056383
Capn1;-0.0159431555960502;0.251058154944;0.681798635965172;-0.0431446805777948;0.0112819892901771
1700048O20Rik;-0.0159496619209959;0.250864759094163;0.681781026371498;-0.0431511764414507;0.0112754821382098
Fam187b;-0.0159501401385656;0.250850548521151;0.681781026371498;-0.0431516538900206;0.0112750038597627
Gm8797;-0.0159567768668459;0.250653391433024;0.681390821903731;-0.0431582799447982;0.0112683662853367
Htr2b;-0.0159606129475016;0.250539482427618;0.681210857497991;-0.0431621098549948;0.0112645297145081
Dnajc6;-0.0159674161386713;0.250337556574421;0.680900541173804;-0.0431689021010467;0.0112577256520577
Stx6;-0.0159678285881349;0.250325318294966;0.680900541173804;-0.0431693138868721;0.0112573131496909
Mrvi1;-0.0159690254867379;0.250289806054961;0.680900541173804;-0.0431705088595923;0.0112561160975141
Pom121;-0.0159824821613626;0.249890785643872;0.680145473029889;-0.0431839438762517;0.0112426576908963
Zbtb43;-0.0159853407273099;0.249806080026327;0.680099082715229;-0.0431867978401875;0.011239798755756
Gm15929;-0.0159882496895623;0.24971990164284;0.680048656560013;-0.0431897021188397;0.0112368894173448
Dnajc2;-0.0159885871876902;0.249709904561542;0.680048656560013;-0.043190039073546;0.0112365518755451
Alpk3;-0.0159892034063023;0.249691652181229;0.680048656560013;-0.0431906542999396;0.0112359355771791
Nek3;-0.0159945208374594;0.249534188712718;0.679819189008237;-0.0431959631682559;0.0112306174569559
