moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Slc35d3;-0.104878659161769;0.0000000000000352;0.000000000000466;-0.131722862445239;-0.0778807461559755
Gpc1;-0.10497467495035;0.0000000000000333;0.000000000000442;-0.131818261370022;-0.0779772412201664
Fzd2;-0.105006988023444;0.0000000000000327;0.000000000000434;-0.131850366732461;-0.0780097157020358
Plch2;-0.105122300987804;0.0000000000000307;0.000000000000407;-0.131964937998075;-0.0781256051394343
Slit1;-0.105178984540013;0.0000000000000297;0.000000000000395;-0.132021256695925;-0.0781825723317602
Mcm4;-0.105586385149618;0.0000000000000236;0.000000000000315;-0.132426029896075;-0.0785920167296879
Gadd45g;-0.105648947043872;0.0000000000000228;0.000000000000305;-0.132488187523058;-0.0786548932820421
Trp53;-0.10567812025693;0.0000000000000224;0.0000000000003;-0.13251717215023;-0.0786842132966234
Cks1b;-0.105821756629268;0.0000000000000207;0.000000000000277;-0.132659879337298;-0.0788285731376325
Trp53inp1;-0.105929684653445;0.0000000000000195;0.000000000000261;-0.13276710844174;-0.0789370455193485
Atp5h;-0.10602439293399;0.0000000000000184;0.000000000000247;-0.132861202893382;-0.0790322320074419
Pacc1;-0.10613730844046;0.0000000000000173;0.000000000000233;-0.132973385933011;-0.0791457182978639
Mapt;-0.106159145205331;0.0000000000000171;0.00000000000023;-0.132995080966544;-0.0791676655275561
Knop1;-0.10624998461844;0.0000000000000162;0.000000000000219;-0.133085330511205;-0.0792589647474212
Laptm4a;-0.106308934477715;0.0000000000000157;0.000000000000212;-0.133143897339697;-0.0793182132386506
Csnk1a1;-0.106436073020824;0.0000000000000146;0.000000000000197;-0.13327020915337;-0.0794459964974441
Paip2;-0.106585972843435;0.0000000000000134;0.000000000000182;-0.133419133119542;-0.0795966575969363
Crp;-0.106719091265781;0.0000000000000124;0.000000000000169;-0.133551383917432;-0.0797304531043638
Jun;-0.106800448823947;0.0000000000000119;0.000000000000161;-0.13363221074184;-0.0798122249532223
Ddx39b;-0.106957721182563;0.0000000000000108;0.000000000000148;-0.133788456126656;-0.0799702992072706
Abtb2;-0.106978948142247;0.0000000000000107;0.000000000000146;-0.13380954437411;-0.0799916345022847
Polr2i;-0.107427732574334;0.00000000000000828;0.000000000000113;-0.134255390438264;-0.0804427151685067
Dll1;-0.107462728552343;0.00000000000000811;0.000000000000111;-0.134290156827365;-0.080477890670232
Arhgap27;-0.107622098131229;0.0000000000000074;0.000000000000102;-0.134448480036976;-0.0806380786393138
Cldn12;-0.107673116329425;0.00000000000000719;0.0000000000000987;-0.134499162976725;-0.0806893591192657
Sel1l3;-0.107893978751329;0.00000000000000633;0.0000000000000871;-0.134718572415281;-0.0809113586305281
Bambi;-0.108102354581407;0.00000000000000561;0.0000000000000776;-0.134925574995766;-0.0811208097183368
Lrp8;-0.108109992271888;0.00000000000000559;0.0000000000000773;-0.134933162307446;-0.081128486865984
Nr2f6;-0.108186850913854;0.00000000000000534;0.000000000000074;-0.135009513808737;-0.0812057427465352
Hmgcr;-0.108274778918253;0.00000000000000508;0.0000000000000704;-0.135096861242217;-0.0812941255983687
Ajap1;-0.10831049523916;0.00000000000000497;0.0000000000000691;-0.135132341616382;-0.081330026799313
Ube2e3;-0.108445053412736;0.0000000000000046;0.000000000000064;-0.135266010263134;-0.0814652821213087
Acss3;-0.108703247179693;0.00000000000000396;0.0000000000000552;-0.135522494448633;-0.0817248163778484
Tmem171;-0.108776336565263;0.0000000000000038;0.0000000000000529;-0.135595099233792;-0.0817982858931402
Obscn;-0.108996377613499;0.00000000000000334;0.0000000000000468;-0.135813679617407;-0.082019473120372
Srl;-0.109015439835481;0.0000000000000033;0.0000000000000464;-0.135832615178698;-0.0820386347612673
Lfng;-0.109207735797552;0.00000000000000295;0.0000000000000416;-0.136023632316807;-0.0822319347572685
Vash2;-0.109238560584468;0.0000000000000029;0.0000000000000409;-0.136054251924529;-0.0822629206782389
Mib1;-0.109268256155514;0.00000000000000285;0.0000000000000403;-0.136083749784335;-0.0822927715297765
St6galnac2;-0.1092945757641;0.00000000000000281;0.0000000000000397;-0.136109894118881;-0.0823192288061407
Caprin1;-0.109330310750241;0.00000000000000275;0.000000000000039;-0.136145391069993;-0.0823551507691471
