INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
110 (UE 361  INV 15);28;5;2.5;2;1.9;0.0484;
PAÑO (UE 175  INV: 23) ;25;4.7;2.9;2;1.8;0.0484;
110 (UE 361  INV 15);79;5.1;1.5;1.2;1;0.0486;
110 (UE 361  INV 15);91;5;2.2;2;1.1;0.0486;
110 (UE 361  INV 15);64;4.1;2.2;2;2;0.0487;
111 (UE 355 INV 1);69;5;2.2;2;1.3;0.0487;
111 (UE 355 INV 1);66;4.9;2.3;1.9;1.5;0.0487;
PAÑO (UE 175  INV: 23) ;65;4.9;3;2.9;1.5;0.0488;
103 (UE 163  INV 16);85;5.1;4;2.6;1.9;0.0488;
PAÑO (UE 175  INV: 23) ;80;4.8;1;1;1;0.0489;
PAÑO (UE 175  INV: 23) ;47;4.2;2;2;1.7;0.0489;
101 y 102 (UE 94 y 95  INV 94 y 95);82;4.2;2;2;1.8;0.049;
104 (UE 104  INV: 3);7;5;1.5;1.2;1;0.0491;
104 (UE 104  INV: 3);8;5;2;1.8;1.1;0.0492;
PAÑO (UE 175  INV: 23) ;12;4.7;2;2;1.9;0.0493;
356 (UE 357);40;5.3;2.1;1.8;1.1;0.0493;
103 (UE 163  INV 16);71;5.1;2.5;2;1.7;0.0493;
101 y 102 (UE 94 y 95  INV 94 y 95);70;5;2.7;2.1;1.7;0.0494;
PAÑO (UE 175  INV: 23) ;46;4.7;3.3;2.7;2;0.0494;
114 (UE 167  INV 6);87;5;1.8;1.7;1.2;0.0495;
105 (UE 105  INV: 3);12;5;1.8;1.5;1;0.0495;
103 (UE 163  INV 16);70;4.9;3;2.1;1.9;0.0495;
PAÑO (UE 175  INV: 23) ;57;5;3;2.6;1.6;0.0495;
103 (UE 163  INV 16);76;5;3.2;3;2;0.0495;
108 (UE 95  INV 8);79;4.9;3.8;2.9;1.9;0.0495;
PAÑO (UE 175  INV: 23) ;31;5;2.6;2.2;1.8;0.0496;
110 (UE 361  INV 15);49;5.2;3;2;1.9;0.0497;
343 (UE 344  INV 1);8;5.1;2;2;1.3;0.0498;
PAÑO (UE 175  INV: 24) ;13;4.9;2.8;2.2;1.9;0.0498;
